,Zmutt / Météo (Zmutt_Température - C°),C: Zmutt / Météo (Zmutt_Température - C°) (1. Année précédente),C: Zmutt / Météo (Zmutt_Température - C°) (2. Année précédente),C: Zmutt / Météo (Zmutt_Température - C°) (3. Année précédente),C: Zmutt / Météo (Zmutt_Température - C°) (4. Année précédente)
Horodatage,°C,°C,°C,°C,°C
5/1/2019 0:15,2.198,3.656,2.593333,0.960667,5.760611
5/1/2019 0:30,2.105944,3.226667,2.678,0.499944,5.760667
5/1/2019 0:45,1.897333,2.732,2.735333,-0.113333,5.678667
5/1/2019 1:00,1.910667,2.234667,2.674611,0.163222,5.519333
5/1/2019 1:15,2.24,2.085333,2.410667,0.046722,5.319334
5/1/2019 1:30,2.152,2.260667,1.564056,-0.145333,5.28
5/1/2019 1:45,1.708667,2.026667,1.506,-0.3225,5.216
5/1/2019 2:00,1.412,1.882667,1.527333,-0.496667,5.125556
5/1/2019 2:15,1.184,1.955278,1.480667,-0.528667,5.030667
5/1/2019 2:30,1.118,1.994,1.268,-0.632667,4.928
5/1/2019 2:45,0.76,1.836667,1.200667,-0.849333,4.865889
5/1/2019 3:00,0.700667,1.96,1.2,-0.822722,4.8
5/1/2019 3:15,0.652667,1.92,0.733333,-0.824,4.252666
5/1/2019 3:30,0.468667,1.646111,1,-0.864667,4.063334
5/1/2019 3:45,0.329333,1.613333,0.910667,-1.025333,3.848667
5/1/2019 4:00,0.272,1.666,1.807333,-1.016,4.008611
5/1/2019 4:15,0.137333,1.613333,2.56,-1.095389,3.467333
5/1/2019 4:30,-0.099333,1.448,2.76,-1.321944,3.025333
5/1/2019 4:45,-0.196,1.389333,2.801278,-1.498,3.408611
5/1/2019 5:00,-0.140667,1.329333,2.490667,-1.550056,3.305333
5/1/2019 5:15,-0.190667,1.363333,1.290667,-1.664667,3.486722
5/1/2019 5:30,-0.435333,1.376,0.790722,-1.68,3.183333
5/1/2019 5:45,-0.404667,1.221333,0.804,-1.656,3.174667
5/1/2019 6:00,-0.432,1.163333,0.789444,-1.760667,3.040611
5/1/2019 6:15,-0.459333,1.104,0.728,-1.872667,3.047944
5/1/2019 6:30,-0.584,1.027333,0.720056,-1.896,2.598
5/1/2019 6:45,-0.722722,1.094,0.734667,-1.984667,2.544
5/1/2019 7:00,-0.732,1.018667,0.617333,-2.126722,2.241444
5/1/2019 7:15,-0.688,1.190667,0.695333,-2.121222,1.922055
5/1/2019 7:30,-0.787333,1.186667,0.568,-2.072667,2.248
5/1/2019 7:45,-0.266,1.154667,0.468,-2.030056,2.080667
5/1/2019 8:00,0.772,1.421333,0.245556,-1.8,2.240611
5/1/2019 8:15,1.616,1.352,0.256,-1.654667,2.305333
5/1/2019 8:30,2.317333,1.12,0.272,-1.462667,2.059389
5/1/2019 8:45,2.877944,0.8,0.030778,-1.352667,1.876
5/1/2019 9:00,3.532,1.128,-0.065333,-1.488,2.594
5/1/2019 9:15,4.263333,1.096,0.152611,-1.229333,2.958667
5/1/2019 9:30,5.01,1.3315,0.28,-0.934,2.947333
5/1/2019 9:45,5.548,1.587278,0.27,-0.454,3.592
5/1/2019 10:00,6.062666,1.896,0.136,-0.190056,3.454
5/1/2019 10:15,6.568,2.45,0.166056,-0.152667,3.086722
5/1/2019 10:30,6.678,2.852667,0.086667,-0.037333,3.104
5/1/2019 10:45,6.356,3.064,-0.337333,0.378,3.2
5/1/2019 11:00,7.470555,3.336778,-0.48,0.882667,3.217333
5/1/2019 11:15,8.006,3.606667,-0.109333,1.244,3.425333
5/1/2019 11:30,8.538,3.302,-0.009333,2.089333,3.552056
5/1/2019 11:45,8.933333,3.578,0.016,2.289333,3.503389
5/1/2019 12:00,9.151999,4.266445,-0.283222,2.559333,3.712667
5/1/2019 12:15,9.485333,4.577556,-0.304,2.795333,3.936667
5/1/2019 12:30,9.922,4.932667,-0.288,3.880555,4.016
5/1/2019 12:45,10.296,5.2475,-0.384,4.465333,3.846667
5/1/2019 13:00,10.612,5.812,-0.287333,4.811333,3.526
5/1/2019 13:15,10.141334,5.509333,-0.116,5.427333,3.118056
5/1/2019 13:30,9.876,5.920889,0.32,5.324,3.200667
5/1/2019 13:45,10.711333,6.060667,0.468,4.563389,2.790667
5/1/2019 14:00,11.08,6.901333,0.81,3.961333,3.258667
5/1/2019 14:15,11.074,7.104889,0.785778,4.209333,3.052722
5/1/2019 14:30,11.4,6.746,1.414667,4.771222,2.960667
5/1/2019 14:45,11.415999,7.240722,1.624,4.683333,3.281333
5/1/2019 15:00,11.571334,7.424889,1.96,4.529222,3.545333
5/1/2019 15:15,11.654667,7.197333,2.164,4.208611,3.744
5/1/2019 15:30,11.526,6.9845,2.634222,4.213333,4.066
5/1/2019 15:45,11.483334,6.781333,3.117333,3.764722,4.152667
5/1/2019 16:00,11.169333,5.351333,3.234,3.656611,3.972722
5/1/2019 16:15,11.036,5.202,3.172222,3.471333,3.590722
5/1/2019 16:30,10.508,5.852,2.123111,3.319333,3.728667
5/1/2019 16:45,10.461333,5.076833,2.72,2.828667,3.750056
5/1/2019 17:00,10.638,5.112,3.222667,2.672,3.464
5/1/2019 17:15,10.64,5.575334,3.212889,2.624556,3.365389
5/1/2019 17:30,10.891334,5.98,2.944,2.496,3.256
5/1/2019 17:45,10.816,5.837334,2.764,2.526667,3.328
5/1/2019 18:00,10.784,5.638667,2.689333,2.37,3.254667
5/1/2019 18:15,10.577333,5.316,2.498667,2.407333,2.895334
5/1/2019 18:30,10.313334,5.104,2.221333,2.157389,2.776667
5/1/2019 18:45,10.273333,5.148,2.087556,2.024,3.082
5/1/2019 19:00,9.912,4.92,1.661333,2.015333,2.924778
5/1/2019 19:15,9.570666,4.766,1.7285,1.951333,3.188555
5/1/2019 19:30,9.156055,4.696,1.646667,1.63,3.173389
5/1/2019 19:45,8.722667,4.56,1.574667,1.292056,3.152667
5/1/2019 20:00,8.194667,4.356,1.218667,0.976,3.159333
5/1/2019 20:15,7.842,4.136,1.046445,1.000667,3.104
5/1/2019 20:30,7.296667,4.042666,-0.014667,0.998667,3.024
5/1/2019 20:45,6.508,3.854667,0.27,0.654,2.876722
5/1/2019 21:00,6.464,3.704,0.534,0.342,2.455333
5/1/2019 21:15,6.306,3.630667,0.086,0.055333,2.585333
5/1/2019 21:30,5.908,3.52,-0.417111,-0.016667,2.624667
5/1/2019 21:45,5.566,3.388667,-0.811333,-0.12,2.802667
5/1/2019 22:00,5.324667,3.306667,-1.044,-0.241944,2.791333
5/1/2019 22:15,5.156,3.316,-0.862,-0.481333,2.535333
5/1/2019 22:30,5.104,3.272,-1.334667,-0.527333,2.518611
5/1/2019 22:45,4.584667,3.102,-1.396889,-0.286667,2.030667
5/1/2019 23:00,4.184,2.947333,-1.558667,-0.224667,2.258
5/1/2019 23:15,3.87,2.832,-1.408,-0.408611,2.248
5/1/2019 23:30,3.704,2.984667,-1.578,-0.456667,2.19
5/1/2019 23:45,3.417333,2.855111,-1.762667,-0.626611,2.056056
5/2/2019 0:00,3.126,2.524,-2.128722,-0.84,2.011333
5/2/2019 0:15,3.009333,2.156,-2.356,-0.703333,2.000667
5/2/2019 0:30,2.864,2.533333,-2.674,-0.544,1.880667
5/2/2019 0:45,2.715278,2.52,-2.936667,-0.705889,1.966
5/2/2019 1:00,2.441333,2.448056,-3.025944,-0.833333,1.777333
5/2/2019 1:15,2.422667,2.264,-3.296667,-1.121333,1.956
5/2/2019 1:30,2.388,2.272,-3.515333,-1.167333,1.976667
5/2/2019 1:45,2.198,2.409945,-3.904,-1.111333,2
5/2/2019 2:00,2.178,2.012778,-4.217333,-0.96,2.096667
5/2/2019 2:15,2.028055,1.861278,-4.506,-0.855333,2.568667
5/2/2019 2:30,1.952,1.855944,-4.704,-1.039333,2.244667
5/2/2019 2:45,1.68,1.968889,-4.817333,-0.96,2.023333
5/2/2019 3:00,1.546667,1.986667,-5.017334,-0.901556,2.089333
5/2/2019 3:15,1.399222,2.105333,-5.096,-1.026611,2.055333
5/2/2019 3:30,1.348667,2.059333,-5.233333,-1.151333,1.943333
5/2/2019 3:45,1.379333,1.944,-5.383389,-1.04,2.096667
5/2/2019 4:00,1.292667,1.872,-5.392,-1.056,2.006
5/2/2019 4:15,1.08,1.672,-5.561333,-1.088667,1.954556
5/2/2019 4:30,1.012,1.522667,-5.68,-1.087333,1.934667
5/2/2019 4:45,0.948,1.438611,-5.777333,-1.161333,1.929333
5/2/2019 5:00,0.848,1.340667,-5.952,-1.256,2.153278
5/2/2019 5:15,0.784,1.15,-5.872,-1.233333,2.199333
5/2/2019 5:30,0.676667,0.822,-6.096666,-1.352,2.151333
5/2/2019 5:45,0.704,0.433333,-6.232,-1.422667,2.007333
5/2/2019 6:00,0.584,0.573333,-6.36,-1.378611,1.92
5/2/2019 6:15,0.564,0.776,-6.271278,-1.648667,2.000667
5/2/2019 6:30,0.504,0.981333,-6.006,-1.575333,1.951333
5/2/2019 6:45,0.632,1.028667,-5.582667,-1.584667,1.976667
5/2/2019 7:00,0.67,1.048,-5.326,-1.607333,1.976
5/2/2019 7:15,0.729389,1.24,-4.860667,-1.56,1.876222
5/2/2019 7:30,1.136667,1.336,-4.288,-1.35,1.977944
5/2/2019 7:45,2.007333,1.353333,-3.806,-1.254667,2.065333
5/2/2019 8:00,2.697222,1.540667,-3.438,-1.073278,2.272667
5/2/2019 8:15,3.366,1.744,-3.008,-1.032,2.482667
5/2/2019 8:30,3.892,1.919111,-2.660667,-0.870667,2.76
5/2/2019 8:45,4.202,2.098667,-2.131389,-0.863389,2.864667
5/2/2019 9:00,4.78,2.257333,-1.388667,-0.702056,2.961333
5/2/2019 9:15,6.092,2.514667,-0.863333,-0.962,3.168722
5/2/2019 9:30,5.938111,2.64,-0.286,-0.950667,3.644611
5/2/2019 9:45,6.120667,2.712,0.041333,-0.654667,4.193277
5/2/2019 10:00,6.797333,2.873333,0.266,-0.665889,4.321333
5/2/2019 10:15,7.14,3.293333,0.574667,-0.510667,4.657333
5/2/2019 10:30,7.402,3.805111,0.684,0.142611,5.131278
5/2/2019 10:45,7.914,4.208,1.197333,1.871333,5.472667
5/2/2019 11:00,8.192611,4.321333,1.373222,2.368,5.634778
5/2/2019 11:15,8.544001,4.444,2.093889,2.486,6.492556
5/2/2019 11:30,8.968,4.504,2.576,4.238667,7.468
5/2/2019 11:45,8.62,4.799111,2.799111,4.738,7.920667
5/2/2019 12:00,8.387333,5.4815,3.496,5.090667,8.339334
5/2/2019 12:15,8.792,6.032055,3.843778,5.280667,8.859333
5/2/2019 12:30,9.415222,6.178667,3.774667,6.154666,9.208667
5/2/2019 12:45,9.15,6.22,4.701334,6.265333,9.780666
5/2/2019 13:00,10.725333,6.252,5.224667,6.338666,10.354
5/2/2019 13:15,11.092,6.529944,5.794,6.607333,10.665334
5/2/2019 13:30,10.798667,6.482,5.882667,6.768667,11.009334
5/2/2019 13:45,10.621333,6.787278,6.211333,6.993333,11.208667
5/2/2019 14:00,10.456,7.176,6.162,7.452611,11.257333
5/2/2019 14:15,9.1495,7.168,6.099555,7.743333,11.507556
5/2/2019 14:30,8.860667,7.372,5.3095,7.585333,11.682
5/2/2019 14:45,8.844,7.509333,4.895333,8.150666,11.770667
5/2/2019 15:00,9.704667,7.196778,5.078667,8.024611,11.969944
5/2/2019 15:15,10.914001,6.677333,4.960778,8.049277,12.088
5/2/2019 15:30,10.855223,6.453333,4.765333,8.328,12.281278
5/2/2019 15:45,10.79,5.102056,4.364,7.940167,12.215333
5/2/2019 16:00,10.406,4.776,4.136,8.087334,11.965333
5/2/2019 16:15,10.057333,4.838667,3.928,8.248,11.590667
5/2/2019 16:30,9.788,4.963556,2.795333,8.467334,11.096
5/2/2019 16:45,8.844,5.202667,2.288,8.656,10.775333
5/2/2019 17:00,6.842,5.840667,1.870667,8.43,10.380667
5/2/2019 17:15,5.92,5.522667,1.6,8.062667,9.644
5/2/2019 17:30,6.416,5.112,1.569556,8.144,9.143333
5/2/2019 17:45,7.076555,4.913556,1.954,8.215333,8.762722
5/2/2019 18:00,7.398,4.856,2.6995,7.990667,7.370167
5/2/2019 18:15,6.488,4.667333,2.101333,7.856667,6.945333
5/2/2019 18:30,6.936,4.52,1.654,7.694667,6.227333
5/2/2019 18:45,6.986,4.781333,1.367333,7.284778,5.066667
5/2/2019 19:00,6.052778,5.104,1.256,6.943333,4.728611
5/2/2019 19:15,5.63,4.992,0.906667,6.878667,5.092
5/2/2019 19:30,5.58,4.766222,0.685333,6.84,5.339334
5/2/2019 19:45,5.042,4.876444,0.36,6.742667,4.819333
5/2/2019 20:00,5.027333,4.92,0.452,6.372667,4.199333
5/2/2019 20:15,5.153944,4.648056,0.477333,5.822,4.231333
5/2/2019 20:30,4.804,4.6735,0.465333,5.301333,4.080555
5/2/2019 20:45,4.692667,4.338666,0.496,5.047278,3.880722
5/2/2019 21:00,4.5,4.168,0.424,5.168667,4.265278
5/2/2019 21:15,4.268,4.065333,0.301333,4.812111,4.132667
5/2/2019 21:30,4.374667,4.016,0.272,4.655389,3.954611
5/2/2019 21:45,4.504,3.99,0.276,4.822667,4.368
5/2/2019 22:00,4.531333,3.725333,0.084667,4.608,4.456
5/2/2019 22:15,4.617944,3.269333,0.14,4.318611,4.013278
5/2/2019 22:30,4.263333,2.586667,0.286667,4.345333,3.792667
5/2/2019 22:45,3.956,2.736,0.16,4.294,4.161333
5/2/2019 23:00,3.88,2.678056,0.077333,4.102056,4.16
5/2/2019 23:15,3.839389,2.712,-0.012444,3.790056,4.054778
5/2/2019 23:30,3.870667,2.329334,-0.370889,3.792,4.256667
5/2/2019 23:45,3.961333,2.08,-0.248,3.728667,4.279334
5/3/2019 0:00,3.896,2.149333,-0.188,3.84,3.843444
5/3/2019 0:15,3.228,2.441333,-0.748,3.526667,3.551444
5/3/2019 0:30,3.361389,2.371333,-0.684667,3.544,3.792
5/3/2019 0:45,3.376,2.423111,-0.864667,3.438056,3.824667
5/3/2019 1:00,3.0275,2.202,-0.912,3.440667,3.633333
5/3/2019 1:15,2.942,2.368,-0.719333,3.422667,3.719333
5/3/2019 1:30,3.192,2.185333,-0.92,3.102667,3.646667
5/3/2019 1:45,2.94,1.84,-0.646,3.014667,3.448
5/3/2019 2:00,3.14,1.826667,-0.560667,2.887333,3.512
5/3/2019 2:15,2.92,1.824,-0.631333,2.823333,3.657333
5/3/2019 2:30,2.633333,2.107944,-0.576,2.479333,3.784667
5/3/2019 2:45,2.326,2.064,-0.608,2.417333,3.816667
5/3/2019 3:00,2.3,2.124,-0.64,2.504,3.807333
5/3/2019 3:15,2.464,1.750833,-0.68,2.633278,3.695945
5/3/2019 3:30,2.195333,1.55,-0.8335,2.405333,3.583333
5/3/2019 3:45,2.38,1.501333,-0.84,2.056,3.544667
5/3/2019 4:00,2.16,1.362056,-1.502611,2.192667,3.656667
5/3/2019 4:15,2.364,1.161333,-2.178611,2.109333,3.576
5/3/2019 4:30,1.998,0.873389,-2.610611,2.057333,3.648667
5/3/2019 4:45,1.621444,1.076611,-3.050667,1.678,3.615333
5/3/2019 5:00,1.859333,1.104,-3.649333,1.704,3.697278
5/3/2019 5:15,1.706667,1.194,-3.744,1.437444,3.696
5/3/2019 5:30,1.596667,1.128,-3.842,1.391944,3.808667
5/3/2019 5:45,1.076,1.092667,-4.136667,1.119333,3.775333
5/3/2019 6:00,1.109889,1.235,-4.168,1.159333,3.736
5/3/2019 6:15,1.162,1.07,-4.184667,1.282,3.793278
5/3/2019 6:30,1.28,1.208,-4.480667,1.241333,3.710667
5/3/2019 6:45,1.158667,1.274667,-4.416,1.310667,3.672667
5/3/2019 7:00,1.408,1.290667,-4.124722,1.353945,3.849944
5/3/2019 7:15,1.322722,1.4,-3.725333,1.392,4.016666
5/3/2019 7:30,1.234,1.407333,-3.092056,1.406667,4.280667
5/3/2019 7:45,1.592611,1.336,-2.653333,1.278667,4.384667
5/3/2019 8:00,1.536,1.476667,-2.152,1.16,4.61
5/3/2019 8:15,1.635333,1.292,-1.382,1.273278,4.921333
5/3/2019 8:30,1.868,1.333333,-0.948667,1.272056,5.208667
5/3/2019 8:45,2.122,1.216,-0.864,1.721333,5.505333
5/3/2019 9:00,2.3,1.348,-0.564,2.153333,5.754
5/3/2019 9:15,2.984,1.536,0.386667,2.480667,6.121333
5/3/2019 9:30,3.216,2.108,0.843889,2.406,6.448667
5/3/2019 9:45,3.402,2.722667,1.226667,2.42,6.553333
5/3/2019 10:00,3.500667,2.285333,1.594,3.307222,6.898666
5/3/2019 10:15,3.857222,2.413222,1.630667,3.588,7.401945
5/3/2019 10:30,4.068,2.555333,2.012611,4.619333,7.578
5/3/2019 10:45,4.408,2.472,3.000667,5.098667,7.986
5/3/2019 11:00,4.784889,2.942,2.680667,5.46,8.33
5/3/2019 11:15,4.895111,3.158,3.711889,5.798555,8.657333
5/3/2019 11:30,5,3.096,4.338666,5.697389,8.873333
5/3/2019 11:45,5.2175,2.524,4.847,5.945333,9.235333
5/3/2019 12:00,5.698667,2.462611,5.162,6.362667,9.640667
5/3/2019 12:15,6.087111,2.776,5.479333,6.612667,9.922
5/3/2019 12:30,6.284,3.950222,5.641222,6.427333,10.193333
5/3/2019 12:45,6.610667,4.302611,5.23,7.065333,10.554667
5/3/2019 13:00,6.661333,4.442,4.752666,7.467944,11.171888
5/3/2019 13:15,7.213334,4.438222,4.876555,7.928667,11.480667
5/3/2019 13:30,7.660445,4.282667,5.564667,8.617333,11.277389
5/3/2019 13:45,7.749333,4.406,6.617167,8.279333,11.006
5/3/2019 14:00,8.084,4.416667,6.031333,7.901333,10.517333
5/3/2019 14:15,8.482,4.664,5.842667,7.816667,10.184
5/3/2019 14:30,8.1,5.008,5.312722,7.823333,10.449944
5/3/2019 14:45,8.371333,5.517334,5.779889,7.601334,10.707278
5/3/2019 15:00,8.128,5.522,6.246,7.225333,11.098666
5/3/2019 15:15,8.082,5.314778,6.3615,6.44,11.683333
5/3/2019 15:30,7.74,4.998667,6.423333,5.566,12.096666
5/3/2019 15:45,7.499278,4.704,7.189889,4.150667,11.884
5/3/2019 16:00,6.645333,4.216,7.631834,4.451334,11.214666
5/3/2019 16:15,4.108444,4.11,7.031333,4.38,11.200666
5/3/2019 16:30,3.466667,4.148,6.262,2.992,11.312666
5/3/2019 16:45,3.336,4.029333,6.811944,2.552667,11.546
5/3/2019 17:00,3.872889,3.5765,6.682,2.946,11.468111
5/3/2019 17:15,4.454,3.384,5.512667,3.462,11.175333
5/3/2019 17:30,4.506667,3.416,4.832667,4.238778,10.709333
5/3/2019 17:45,5.034667,3.572667,4.560667,4.150667,10.342667
5/3/2019 18:00,5.152,3.566667,4.752,3.466667,10.095333
5/3/2019 18:15,5.296,3.552,5.847167,2.798,10.104667
5/3/2019 18:30,4.949944,3.6,5.472,3.233222,10.224
5/3/2019 18:45,4.4,3.320667,5.134666,2.865333,10.023334
5/3/2019 19:00,5.078667,2.854667,5.088,3.331333,9.644112
5/3/2019 19:15,4.913333,2.736,4.87,3.571445,9.552667
5/3/2019 19:30,4.472,2.829333,4.35,2.901333,9.122667
5/3/2019 19:45,4.406,3.216,3.92,2.985889,8.407333
5/3/2019 20:00,4.449333,3.24,3.759944,2.841389,8.038111
5/3/2019 20:15,4.28,3.194,3.633333,3.545944,8.475223
5/3/2019 20:30,4.193333,3.096,3.519333,3.231333,8.432
5/3/2019 20:45,4.08,3.12,3.304,2.701333,8.421333
5/3/2019 21:00,3.952,3.137333,3.191333,2.527333,7.982056
5/3/2019 21:15,3.704,3.072,3.113333,2.600556,7.966667
5/3/2019 21:30,3.436,2.883333,2.53,2.277333,7.775945
5/3/2019 21:45,3.416,2.900667,2.263944,1.878,7.415333
5/3/2019 22:00,2.694,3,1.856,1.841944,7.262667
5/3/2019 22:15,3.011333,3.008,1.638055,1.880667,7.135333
5/3/2019 22:30,2.69,3.032,1.358056,2,6.944667
5/3/2019 22:45,2.902667,3.056,1.385333,2.071278,7.247333
5/3/2019 23:00,2.849333,3.016,1.398667,1.430667,7.144
5/3/2019 23:15,2.582,3.096,1.272,1.309333,7.159333
5/3/2019 23:30,2.292,3.12,1.353333,1.162,7.065333
5/3/2019 23:45,2.296,2.979556,1.36,1.141333,7.095333
5/4/2019 0:00,2.372,2.932667,1.24,0.694667,6.959333
5/4/2019 0:15,2.273333,2.849333,1.104,0.173333,6.814055
5/4/2019 0:30,2.252,2.736,1.072,0.024,6.606
5/4/2019 0:45,2.192,2.898667,1.296667,-0.395889,6.586611
5/4/2019 1:00,2.060667,3.068,1.190722,-0.771278,6.468667
5/4/2019 1:15,1.937333,3.12,1.216,-1.049333,6.284
5/4/2019 1:30,1.848,2.932,1.232,-1.256667,6.336
5/4/2019 1:45,1.756,2.74,1.078,-1.497333,6.536667
5/4/2019 2:00,1.704,2.579333,1.08,-1.673278,6.544
5/4/2019 2:15,1.712,2.442,0.645333,-1.809889,6.215333
5/4/2019 2:30,1.696,2.392,0.583333,-1.8,6.175333
5/4/2019 2:45,1.62,2.383333,0.424722,-1.615333,6.04
5/4/2019 3:00,1.603333,2.516667,0.824667,-1.905333,6.280667
5/4/2019 3:15,1.524667,2.704,0.813333,-1.92,6.222667
5/4/2019 3:30,1.388,2.605333,0.777278,-1.92,6.120667
5/4/2019 3:45,1.398,2.3365,0.696,-2.346,6.087333
5/4/2019 4:00,1.464,2.368,0.648,-2.253333,6.063334
5/4/2019 4:15,1.475333,2.528,0.591389,-2.280667,5.895333
5/4/2019 4:30,1.584,2.52,0.608,-2.425278,5.881333
5/4/2019 4:45,1.510056,2.566667,0.277389,-2.618667,5.87
5/4/2019 5:00,1.56,2.6,0.3015,-2.944,5.696
5/4/2019 5:15,1.582611,2.724,0.4,-2.993333,5.64
5/4/2019 5:30,1.452667,2.784,0.231333,-3.232667,5.832667
5/4/2019 5:45,1.184,2.773333,0.119333,-3.254667,5.790667
5/4/2019 6:00,0.91,3.126,-0.077111,-3.264667,5.552
5/4/2019 6:15,0.874,3.042667,-0.336,-3.505333,5.64
5/4/2019 6:30,0.752,3.113333,-0.649333,-3.705222,5.889333
5/4/2019 6:45,0.699333,3.342,-1.032,-3.623333,6.049278
5/4/2019 7:00,0.864,3.612667,-1.15,-3.681944,5.852667
5/4/2019 7:15,0.860667,3.928,-1.096,-3.727333,5.722
5/4/2019 7:30,0.883333,4.294,-1.150611,-3.857278,6.048666
5/4/2019 7:45,0.860667,4.213333,-0.429,-3.234667,6.369333
5/4/2019 8:00,0.916,4.433333,-0.056,-2.267389,6.544667
5/4/2019 8:15,0.912,4.78,0.658667,-1.676722,6.737278
5/4/2019 8:30,0.988,5.076,1.232,-0.970722,6.849945
5/4/2019 8:45,1.188,5.666667,1.2145,-0.276667,7.146667
5/4/2019 9:00,1.844,5.997334,1.508,0.210667,7.626
5/4/2019 9:15,2.204,6.404,1.691333,0.836611,7.864667
5/4/2019 9:30,2.690667,6.813334,2.645333,1.352667,7.976666
5/4/2019 9:45,2.124,7.08,3.65,1.645889,8.056
5/4/2019 10:00,2.596,8.066667,4.408,2.748667,8.120667
5/4/2019 10:15,3.056,8.328,4.626667,3.224667,8.456667
5/4/2019 10:30,3.268,8.533334,4.244,3.635889,8.713333
5/4/2019 10:45,3.268667,8.862667,5.375556,4.026,8.870204
5/4/2019 11:00,3.676,8.797334,6.390222,4.450611,8.920667
5/4/2019 11:15,4.134,8.944,6.749556,4.754611,9.106
5/4/2019 11:30,4.298611,9.868,7.059333,5.178,9.675889
5/4/2019 11:45,5.328,10.485333,6.84,5.722,9.856667
5/4/2019 12:00,6.082,10.531334,6.026,6.098611,10.307333
5/4/2019 12:15,6.886556,10.94,6.336,5.9355,10.470667
5/4/2019 12:30,7.107333,10.5,5.726167,6.564667,10.520667
5/4/2019 12:45,7.469333,10.860445,6.936,7.138667,10.808667
5/4/2019 13:00,7.752,11.310222,7.180611,7.529333,10.815333
5/4/2019 13:15,6.852,11.64,7.365222,7.824667,10.841333
5/4/2019 13:30,6.136,11.646723,7.592,8.016666,11.097333
5/4/2019 13:45,5.942,11.898666,7.6575,8.232,11.296666
5/4/2019 14:00,5.827333,12.661222,7.988167,8.291223,11.319333
5/4/2019 14:15,6.048,12.258667,7.704,8.634,11.360611
5/4/2019 14:30,5.82,11.845333,6.754667,8.705334,11.081333
5/4/2019 14:45,6.032,12.004,5.438,8.976666,11.126667
5/4/2019 15:00,5.938,12.162666,4.419333,9.073334,11.16
5/4/2019 15:15,6.114,12.486667,3.63,9.234667,11.223333
5/4/2019 15:30,6.096,12.312,3.512667,9.449333,11.446667
5/4/2019 15:45,6.144,12.074,3.535333,9.381333,11.590667
5/4/2019 16:00,6.032,11.804667,3.467333,9.475222,12.69
5/4/2019 16:15,6.284,11.84,3.904056,9.543333,12.648001
5/4/2019 16:30,6.294667,11.952,4.241333,9.455222,12.916555
5/4/2019 16:45,6.128,12.008,4.773334,9.283333,13.256
5/4/2019 17:00,6.204,11.536,5.166667,9.470667,12.636666
5/4/2019 17:15,6.138,10.909333,4.700056,9.392666,12.174
5/4/2019 17:30,5.656,10.56,4.614666,9.504,11.942667
5/4/2019 17:45,5.098,10.523334,4.294556,9.512667,11.92
5/4/2019 18:00,5.492,10.672,4.267334,9.429999,11.671333
5/4/2019 18:15,5.455333,10.26,4.535278,9.255333,11.702
5/4/2019 18:30,5.208,10.168,4.07,8.982,11.149333
5/4/2019 18:45,5.64,10.205333,3.791333,8.76,11.226
5/4/2019 19:00,5.416667,9.690001,3.734667,8.590667,11.425333
5/4/2019 19:15,4.56,9.707334,3.405444,8.406667,11.306889
5/4/2019 19:30,3.774,9.171444,3.093333,8.062,11.086666
5/4/2019 19:45,3.180667,8.834667,2.919333,7.188,10.903334
5/4/2019 20:00,2.760722,8.594667,2.822722,6.451389,10.751333
5/4/2019 20:15,2.836,8.4925,2.865333,5.804056,10.430667
5/4/2019 20:30,2.602667,8.402612,2.990667,5.222,10.254666
5/4/2019 20:45,2.304,7.8,2.734111,4.885334,9.726
5/4/2019 21:00,2.087445,7.558667,2.575333,4.446,9.852
5/4/2019 21:15,2.42,7.515,2.33,4.319334,10.386666
5/4/2019 21:30,2.6,7.359278,1.870667,4.216,10.799334
5/4/2019 21:45,2.314111,7.178,1.489333,4.224,10.505333
5/4/2019 22:00,2.1,7.147555,1.59,3.734,10.509277
5/4/2019 22:15,2.242,7.008,1.824667,3.454,10.357278
5/4/2019 22:30,1.792,6.742,1.614667,3.125333,9.59
5/4/2019 22:45,1.844,6.774,1.761333,2.775333,9.262667
5/4/2019 23:00,1.304,6.865111,1.823333,2.559389,9.070723
5/4/2019 23:15,1.211278,6.865944,1.404667,2.44,9.087334
5/4/2019 23:30,1.284,6.704,1.113333,2.334,8.692778
5/4/2019 23:45,1.1,6.345334,1.182667,2.135333,8.64
5/5/2019 0:00,0.716,6.241333,1.078,1.982667,8.484778
5/5/2019 0:15,0.16,6.232,0.701444,1.886667,8.313334
5/5/2019 0:30,0.067333,6.139555,0.532,1.809222,8.842667
5/5/2019 0:45,-0.372,6.132667,0.447333,1.462722,8.748722
5/5/2019 1:00,-1.048,6.132667,0.327333,1.479333,9.202666
5/5/2019 1:15,-1.63,5.714667,0.464667,1.481333,8.504
5/5/2019 1:30,-1.868,5.696,0.342667,1.239333,8.374001
5/5/2019 1:45,-2.136,5.596,-0.008,1.006667,8.376555
5/5/2019 2:00,-1.904,5.584,-0.428611,0.742,8.029388
5/5/2019 2:15,-1.731333,5.596722,-0.78,0.712667,7.912611
5/5/2019 2:30,-1.658667,5.566667,-1.636,0.654722,7.816
5/5/2019 2:45,-1.728,5.777333,-2.081333,0.518667,7.544
5/5/2019 3:00,-1.909333,5.88,-2.514611,0.158667,7.496
5/5/2019 3:15,-2.302,5.659333,-2.696,0.155,7.383333
